SrNo.,Job ID,Institution,URL,list id,location,Job Title,advice,agency,agent,analytics,asset,authentication,automation,business,cash,chief,collaborative,connectivity,contract,corporate,credit,currency,cyber,data,development,digital,director,electronic,equity,executive,expertise,finance,financial,framework,fraud,funding,global,identity,income,information,insurance,integration,interest,internal,investment,investor,leader,legal,lending,liquidity,loan,loss,management,manager,managing,manual,market,network,officer,operating,operational,payment,personal,policy,portfolio,pricing,product,quality,rate,regulatory,reporting,research,resource,revenue,sale,security,senior,service,settlement,social,structure,system,tax,technology,trading,transaction
0, P199137,Discover Financials,https://jobs.discover.com/job/9213911/account-specialist-new-castle-de/,1,"New Castle, DE",Account Specialist,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0
1, P100276_S1,Discover Financials,https://jobs.discover.com/job/9216773/manager-operations-communications-training-riverwoods-il/,1,"Riverwoods, IL",Manager Operations – Communications & Training,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2, P125455_S4,Discover Financials,https://jobs.discover.com/job/9216775/principal-technical-consultant-houston-tx/,1,"Houston, TX",Principal Technical Consultant,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3, P170356_S2,Discover Financials,https://jobs.discover.com/job/9216777/lead-technical-consultant-riverwoods-il/,1,"Riverwoods, IL",Lead Technical Consultant,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
4, P199170,Discover Financials,https://jobs.discover.com/job/9216779/payments-innovation-research-consultant-riverwoods-il/,1,"Riverwoods, IL",Payments Innovation Research Consultant,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5, P199204_S1,Discover Financials,https://jobs.discover.com/job/9216780/director-distinguished-technical-fellow-chicago-il/,1,"Chicago, IL","Director, Distinguished Technical Fellow",0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2
6, P117028_S3,Discover Financials,https://jobs.discover.com/job/9216774/director-sr-counsel-public-co-riverwoods-il/,1,"Riverwoods, IL",Director & Sr. Counsel Public Co,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7, P153417_S2,Discover Financials,https://jobs.discover.com/job/9216776/senior-manager-communications-planning-strategy-riverwoods-il/,1,"Riverwoods, IL","Senior Manager, Communications Planning & Strategy",0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8, P198995,Discover Financials,https://jobs.discover.com/job/9216778/senior-data-analyst-riverwoods-il/,1,"Riverwoods, IL",Senior Data Analyst,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9, P107435_S1,Discover Financials,https://jobs.discover.com/job/9210089/lead-strategic-financial-analyst-riverwoods-il/,1,"Riverwoods, IL",Lead Strategic Financial Analyst,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
